10000;2
20000;8
30000;15
40000;25
50000;35
60000;50
70000;65
80000;82
90000;102
100000;122
110000;146
120000;170
130000;198
140000;228
150000;257
160000;291
170000;326
180000;363
190000;403
200000;446
210000;491
220000;536
230000;584
240000;633
250000;686
260000;744
270000;847
280000;929
290000;1014
300000;1099
310000;1191
320000;1277
330000;1364
340000;1452
350000;1542
360000;1637
370000;1731
380000;1842
390000;1949
400000;2055
410000;2166
420000;2275
430000;2394
440000;2515
450000;2637
460000;2764
470000;2887
480000;3016
490000;3143
500000;3275
510000;3411
520000;3549
530000;3690
540000;3834
550000;3977
560000;4120
570000;4271
580000;4425
590000;4586
600000;4746
610000;4905
620000;5066
630000;5229
640000;5401
650000;5582
660000;5761
670000;5936
680000;6110
690000;6287
700000;6467
710000;6660
720000;6881
730000;7097
740000;7332
750000;7537
760000;7736
770000;7940
780000;8147
790000;8347
800000;8553
810000;8771
820000;8988
830000;9206
840000;9441
850000;9688
860000;9951
870000;10226
880000;10522
890000;10898
900000;11226
910000;11517
920000;11804
930000;12092
940000;12364
950000;12645
960000;12915
970000;13215
980000;13501
990000;13783
1000000;14089
