10000;2
20000;8
30000;15
40000;24
50000;67
60000;81
70000;98
80000;115
90000;137
100000;158
110000;180
120000;207
130000;235
140000;276
150000;319
160000;363
170000;408
180000;459
190000;534
200000;588
210000;645
220000;703
230000;767
240000;831
250000;899
260000;970
270000;1043
280000;1116
290000;1193
300000;1273
310000;1359
320000;1444
330000;1530
340000;1624
350000;1714
360000;1812
370000;1907
380000;2010
390000;2112
400000;2218
410000;2325
420000;2435
430000;2546
440000;2659
450000;2773
460000;2893
470000;3015
480000;3140
490000;3261
500000;3392
510000;3526
520000;3656
530000;3791
540000;3934
550000;4074
560000;4216
570000;4362
580000;4510
590000;4659
600000;4812
610000;4968
620000;5128
630000;5292
640000;5455
650000;5620
660000;5783
670000;5958
680000;6129
690000;6301
700000;6474
710000;6654
720000;6836
730000;7026
740000;7213
750000;7402
760000;7590
770000;7779
780000;7979
790000;8186
800000;8383
810000;8594
820000;8808
830000;9021
840000;9237
850000;9455
860000;9679
870000;9898
880000;10129
890000;10369
900000;10609
910000;10849
920000;11120
930000;11377
940000;11630
950000;11883
960000;12138
970000;12400
980000;12671
990000;12949
1000000;13219
